
3 Espace(s) en fin de ligne à supprimer. => ----  |   => suggestions : ['']

6 Mot inconnu : Gadmin => ====== Serveur FTP Gadmin ProFTPD ====== | gadmin
6 Mot inconnu : ProFTPD => ====== Serveur FTP Gadmin ProFTPD ====== | proftpd

8 Mot inconnu : Gproftpd => Gproftpd est l'interface graphique de **[[proftpd]]**, un serveur ftp très puissant mais demandant des connaissances avancées pour le maîtriser. | gproftpd
8 Mot inconnu : proftpd => Gproftpd est l'interface graphique de **[[proftpd]]**, un serveur ftp très puissant mais demandant des connaissances avancées pour le maîtriser. | proftpd

19 Mot inconnu : proftpd => Pendant l'installation une fenêtre s'ouvrira et vous demandera si vous voulez que proftpd soit indépendant ou lancé par inetd((exécuté automatiquement par inetd qui est un lanceur automatique en cas de requète externe)). Il est recommandé de choisir **indépendant** si vous n'avez pas crucialement besoin d'inetd. | proftpd
19 Mot inconnu : inetd => Pendant l'installation une fenêtre s'ouvrira et vous demandera si vous voulez que proftpd soit indépendant ou lancé par inetd((exécuté automatiquement par inetd qui est un lanceur automatique en cas de requète externe)). Il est recommandé de choisir **indépendant** si vous n'avez pas crucialement besoin d'inetd. | inetd
19 Il manque un espace avant la parenthèse. => Pendant l'installation une fenêtre s'ouvrira et vous demandera si vous voulez que proftpd soit indépendant ou lancé par inetd((exécuté automatiquement par inetd qui est un lanceur automatique en cas de requète externe)). Il est recommandé de choisir **indépendant** si vous n'avez pas crucialement besoin d'inetd. | ( => suggestions : [' (']
19 Mot inconnu : inetd => Pendant l'installation une fenêtre s'ouvrira et vous demandera si vous voulez que proftpd soit indépendant ou lancé par inetd((exécuté automatiquement par inetd qui est un lanceur automatique en cas de requète externe)). Il est recommandé de choisir **indépendant** si vous n'avez pas crucialement besoin d'inetd. | inetd
19 Mot inconnu : requète => Pendant l'installation une fenêtre s'ouvrira et vous demandera si vous voulez que proftpd soit indépendant ou lancé par inetd((exécuté automatiquement par inetd qui est un lanceur automatique en cas de requète externe)). Il est recommandé de choisir **indépendant** si vous n'avez pas crucialement besoin d'inetd. | requète
19 Mot inconnu : inetd => Pendant l'installation une fenêtre s'ouvrira et vous demandera si vous voulez que proftpd soit indépendant ou lancé par inetd((exécuté automatiquement par inetd qui est un lanceur automatique en cas de requète externe)). Il est recommandé de choisir **indépendant** si vous n'avez pas crucialement besoin d'inetd. | inetd

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

33 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A la première ouverture, Gadmin ProFTPD vous demandera si vous voulez créer un fichier de configuration ProFTPD qui lui est propre. Si vous n'avez jamais utilisé ProFTPD en ligne de commande faites Yes (ou Oui), sinon sauvegardez votre ancienne configuration quelque part avant de le faire. | a => suggestions : ['À']
