
4 Mot inconnu : Acer-wmi => ====== Module Acer-wmi du noyau Linux ====== | acer-wmi

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Acer-wmi est un module du noyau Linux qui remplace l'ancien module acer_acpi. |   => suggestions : ['']
6 Mot inconnu : Acer-wmi =>  Acer-wmi est un module du noyau Linux qui remplace l'ancien module acer_acpi. | acer-wmi
6 Mot inconnu : acer_acpi =>  Acer-wmi est un module du noyau Linux qui remplace l'ancien module acer_acpi. | acer_acpi

7 Mot inconnu : bluetooth => Il permet de contrôler de manière logicielle le wifi, le bluetooth, etc. sur certains modèles de portables de la marque Acer (Modèles Aspire 3020, 5020, Modèles Travelmate, etc.), Medion, Ferrari, Extensa, Fujitsu Siemens (Modèle Amilo A 1650). | bluetooth
7 Mot inconnu : Travelmate => Il permet de contrôler de manière logicielle le wifi, le bluetooth, etc. sur certains modèles de portables de la marque Acer (Modèles Aspire 3020, 5020, Modèles Travelmate, etc.), Medion, Ferrari, Extensa, Fujitsu Siemens (Modèle Amilo A 1650). | travelmate
7 Mot inconnu : Medion => Il permet de contrôler de manière logicielle le wifi, le bluetooth, etc. sur certains modèles de portables de la marque Acer (Modèles Aspire 3020, 5020, Modèles Travelmate, etc.), Medion, Ferrari, Extensa, Fujitsu Siemens (Modèle Amilo A 1650). | medion
7 Mot inconnu : Extensa => Il permet de contrôler de manière logicielle le wifi, le bluetooth, etc. sur certains modèles de portables de la marque Acer (Modèles Aspire 3020, 5020, Modèles Travelmate, etc.), Medion, Ferrari, Extensa, Fujitsu Siemens (Modèle Amilo A 1650). | extensa
7 Mot inconnu : Amilo => Il permet de contrôler de manière logicielle le wifi, le bluetooth, etc. sur certains modèles de portables de la marque Acer (Modèles Aspire 3020, 5020, Modèles Travelmate, etc.), Medion, Ferrari, Extensa, Fujitsu Siemens (Modèle Amilo A 1650). | amilo

9 Mot inconnu : acer-wmi => Le module **acer-wmi** vous permet de contrôler: | acer-wmi

30 Mot inconnu : acer_acpi => [[http://code.google.com/p/aceracpi/wiki/SupportedHardware|Liste du matériel pour l'ancien module acer_acpi]] à compléter. | acer_acpi
