
4 Mot inconnu : Pixelize => ====== Pixelize ====== | pixelize

5 Mot inconnu : Pixelize => Pixelize est un petit logiciel simple d'utilisation permettant de recréer une image en la reconstituant à partir d'autres images utilisées comme des pixels. Un autre logiciel fait la même chose: Metapixel. | pixelize
5 Mot inconnu : Metapixel => Pixelize est un petit logiciel simple d'utilisation permettant de recréer une image en la reconstituant à partir d'autres images utilisées comme des pixels. Un autre logiciel fait la même chose: Metapixel. | metapixel

11 Tournure familière. Par exemple, écrivez “pour qu’il ne vienne pas” plutôt que “pour ne pas qu’il vienne.” => Une fois installé, le programme peut-être lancé, mais vous verrez qu'à l'exécution il plantera instantanément. Pour ne pas que le logiciel plante, il faut faire une manipulation avant. | pour ne pas que => suggestions : []

14 Mot inconnu : Pixelize => Pixelize utilise un fichier db qui le renseigne sur les images qu'il doit utiliser et que l'on doit créer manuellement. Plus vous aurez de photos pour créer la mosaïque plus le rendu sera de bonne qualité. Commencer par rassembler toutes les images que vous voulez utiliser dans un dossier, et tapez dans un terminal: | pixelize
14 Mot inconnu : db => Pixelize utilise un fichier db qui le renseigne sur les images qu'il doit utiliser et que l'on doit créer manuellement. Plus vous aurez de photos pour créer la mosaïque plus le rendu sera de bonne qualité. Commencer par rassembler toutes les images que vous voulez utiliser dans un dossier, et tapez dans un terminal: | db

22 Accord de nombre erroné avec « les images » : « indexée » devrait être au pluriel. => Une fois toutes les images indexée dans le fichier .dat, il ne reste plus qu'à lancer Pixelize dans un terminal. | indexée => suggestions : ['indexées']
22 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Une fois toutes les images indexée dans le fichier .dat, il ne reste plus qu'à lancer Pixelize dans un terminal. |  . => suggestions : ['. ', '.']
22 Mot inconnu : dat => Une fois toutes les images indexée dans le fichier .dat, il ne reste plus qu'à lancer Pixelize dans un terminal. | dat
22 Mot inconnu : Pixelize => Une fois toutes les images indexée dans le fichier .dat, il ne reste plus qu'à lancer Pixelize dans un terminal. | pixelize

26 Guillemets typographiques ouvrants. => Pour sélectionner l'image qui sera pixelisée dans la mosaïque, allez dans ''File -> Open'', puis naviguer jusqu'à la photo que vous voulez utiliser et sélectionnez la. | '' => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. => Pour sélectionner l'image qui sera pixelisée dans la mosaïque, allez dans ''File -> Open'', puis naviguer jusqu'à la photo que vous voulez utiliser et sélectionnez la. | '' => suggestions : ['\xa0»', '”']
26 S’il s’agit d’un impératif, mettez un trait d’union. => Pour sélectionner l'image qui sera pixelisée dans la mosaïque, allez dans ''File -> Open'', puis naviguer jusqu'à la photo que vous voulez utiliser et sélectionnez la. | sélectionnez la => suggestions : ['sélectionnez-la']

