1 Mot inconnu : Wanoo => ====== Wanoo (re06011988) ====== | wanoo
1 Mot inconnu : re06011988 => ====== Wanoo (re06011988) ====== | re06011988

3 Mot inconnu : Rougeux => |Nom|Rougeux| | rougeux

7 Mot inconnu : Ubunteros => |Ubunteros depuis combien de temps|depuis 2006 mais principalement depuis la 7.04| | ubunteros

12 Mot inconnu : Houla => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | houla
12 Confusion : « devais » est un verbe. Exemples : sa jambe, ça vient. (Une faute de frappe peut-être ?) => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | sa => suggestions : ['ça', 'se']
12 Incohérence. Le sujet de cette forme verbale est introuvable. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol | devais => suggestions : ['devait']
12 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Houla sa devais être un jour ou j'étais sobre car sa a été un choix judicieux, en gros Windows a planter ou plutot crasher avec mes données la forcement j'avais pas fait de sauvegarde (oui ces con je sais !!), bref après s'être énerver sur le PC j'ai regarder a droite et gauche comment ce passer de windows, j'avais des bonne base en informatique (Programation et utilisation très pousser de win XP) mais je ne connaissait rien en linux, du coup j'ai eu un peu peur et j'ai pris ubuntu (en dual boot) pour tester, j'avais lut que c'étais une distribution simple (sa a planter au bout de 20 minute a cause d'un manip zarb) et voila maintenat sa marche et je pense de plus en plus a virer mon dual boot lol |  car => suggestions : [', car']
